Unit: GPU minutes,sum,ec01,ec11,ec12,ec15,ec29,ec30,ec31,ec35,ec54,ec56,ec98,ec109,ec154,ec192,ec195,ec201,ec206,ec217,ec232,ec281,ec309,ec313,ec354,ec403,ec422,ec425,ec428,ec443,ec488,ec503,ec511,ec564
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_12,4348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4348,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_13,4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4261,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_14,4266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4266,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_15,4275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4275,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_16,4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4278,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_17,4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_18,5952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5952,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_19,4250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_2,4288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4288,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_20,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4140,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_21,3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3892,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_22,4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4224,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_23,4192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4192,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_24,4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4554,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_25,4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_26,3603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3603,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_27,6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6923,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_28,1318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_3,4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_4,4384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4384,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_5,8702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8702,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_6,8681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8681,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_7,8646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8646,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_8,4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4298,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO1A_S3_B1/20250714_1110_P2S-02475-A_PBE86891_5fa326b9/pod5_skip_file_id=PBE86891_skip_5fa326b9_cf374f4c_9,4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4318,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_0,4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4358,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_1,8755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8755,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_10,4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4303,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_11,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3940,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_12,4031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4031,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_13,7709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7709,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_14,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4152,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_15,4180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4180,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_16,4430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4430,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_17,3651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3651,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_18,3797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3797,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_19,3589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3589,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_2,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_20,3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_21,3496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3496,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_22,3841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3841,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_23,3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3430,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_24,3173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3173,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_25,3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3348,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_26,3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3206,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_27,3675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3675,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_28,2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_29,3048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_3,4319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4319,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_30,3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3123,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_31,6493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6493,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_32,5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5574,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_33,2630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_34,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_35-36,3784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3784,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_37-38,5366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5366,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_39-50,3546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_4,4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4394,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_5,4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_51-72,1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_6,4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4133,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_7,4302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4302,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_8,4549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4549,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO4B_S4_B1/20250911_1243_P2S-02475-A_PBG88023_f4060691/pod5_file_id=PBG88023_f4060691_035b780c_9,9784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9784,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_0,4245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_1,4204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4204,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_10,4112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4112,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_11,5768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5768,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_12,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4145,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_13,4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4340,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_14,4186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_15,4146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4146,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_16,5351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5351,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_17,4239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4239,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_18,8247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8247,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_19,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_2,4227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4227,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_20,4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4572,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_21,4165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4165,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_22,4079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4079,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_23,3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3915,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_24,9386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9386,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_25,4108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_26,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1847,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_3,8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8492,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_4,4214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_5,4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4202,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_6,4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4191,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_7,4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4191,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_8,8415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8415,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO7D_S5_B1/20250918_1017_P2S-02475-A_PBG84545_c12fcf33/pod5_file_id=PBG84545_c12fcf33_541afcb8_9,4170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4170,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_0,3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3389,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_1,7653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7653,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_10,3254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3254,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_11,3803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3803,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_12,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3925,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_13,3439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_14,2978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_15,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_16,3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_17,3278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_18,5378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5378,
smk-dorado_basecaller-exp=HL13/Ctrl_24h_KO9E_S6_B1/20250920_1059_P2S-02475-A_PBG84545_8dddbbc2/pod5_file_id=PBG84545_8dddbbc2_645c9042_19,2279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2279,
